,start_type,end_type
259,CONJ,.
260,ADP,.
261,ADP,.
262,.,.
263,DET,.
264,ADV,.
265,ADP,.
266,PRON,.
267,NOUN,.
268,PRON,.
269,NOUN,.
270,CONJ,.
271,VERB,.
272,DET,.
273,VERB,.
274,PRON,.
275,DET,.
276,PRON,.
277,ADP,.
278,NOUN,.
279,DET,.
280,PRON,.
281,DET,.
282,NOUN,.
283,DET,.
284,.,.
285,DET,.
286,DET,.
287,.,.
288,.,NOUN
289,PRON,.
290,CONJ,.
291,ADP,.
292,VERB,.
293,CONJ,.
294,NOUN,.
295,VERB,.
296,DET,.
297,.,.
298,ADJ,.
299,DET,.
300,CONJ,.
301,NOUN,.
302,NOUN,.
303,DET,.
304,ADP,.
305,DET,.
306,DET,.
307,PRON,.
308,NOUN,NOUN
309,PRON,.
310,DET,.
311,PRON,.
312,PRON,.
313,ADP,.
314,CONJ,.
315,CONJ,.
316,NOUN,.
317,DET,.
318,PRON,.
319,ADP,.
320,PRON,.
321,ADP,.
322,PRON,.
323,ADJ,.
324,ADV,.
325,NOUN,.
326,ADV,.
327,DET,.
328,DET,.
329,NOUN,.
330,DET,.
331,VERB,.
332,ADV,.
333,ADP,.
334,ADP,.
335,ADP,.
336,PRON,.
337,NOUN,.
338,DET,.
339,.,.
340,DET,.
341,CONJ,.
342,.,.
343,ADJ,.
344,NUM,.
345,DET,.
346,NOUN,.
347,ADV,.
348,ADV,.
349,NUM,NUM
350,NOUN,.
351,.,.
352,.,.
353,ADP,.
354,NOUN,.
355,.,.
356,DET,.
357,NUM,.
358,ADP,.
359,DET,.
360,DET,.
361,PRON,.
362,VERB,.
363,PRT,.
364,PRON,.
365,PRON,.
366,DET,.
367,NOUN,.
368,ADV,.
369,PRON,.
370,ADP,.
371,PRON,.
372,PRON,.
373,PRON,.
374,PRON,.
375,VERB,.
376,ADP,.
377,VERB,.
378,ADP,.
379,DET,.
380,ADP,.
381,PRON,.
382,ADP,.
383,DET,.
384,NOUN,.
385,PRON,.
386,DET,.
387,DET,.
388,ADV,.
389,DET,.
390,PRON,.
391,DET,.
392,PRON,.
393,PRON,.
394,ADP,.
395,ADV,.
396,DET,.
397,CONJ,.
398,DET,.
399,DET,.
400,PRT,.
401,.,.
402,.,.
403,PRON,.
404,DET,.
405,PRON,.
406,NOUN,.
407,ADV,.
408,ADP,.
409,ADV,.
410,NUM,.
411,ADV,.
412,CONJ,.
413,ADV,.
414,NOUN,.
415,DET,.
416,ADV,.
417,.,.
418,PRON,.
419,ADV,.
420,PRON,.
421,VERB,.
422,VERB,.
423,VERB,.
424,NOUN,.
425,ADJ,.
426,PRT,.
427,CONJ,.
428,.,.
429,ADV,.
430,.,.
431,DET,.
432,.,.
433,PRON,.
434,PRON,.
435,VERB,.
436,NOUN,.
437,VERB,.
438,ADJ,.
439,ADJ,NOUN
440,ADV,.
441,DET,.
442,CONJ,.
443,ADP,.
444,PRON,.
445,NOUN,.
446,NOUN,.
447,VERB,.
448,DET,.
449,.,.
450,PRON,.
451,NOUN,.
452,CONJ,.
453,PRON,.
454,ADP,.
455,PRT,.
456,NOUN,.
457,CONJ,.
458,PRON,.
459,VERB,.
460,ADP,.
461,NOUN,NOUN
462,PRON,.
463,PRON,.
464,ADP,.
465,DET,.
466,CONJ,.
467,DET,.
468,NOUN,.
469,PRON,.
470,ADP,.
471,CONJ,.
472,PRON,.
473,NOUN,.
474,DET,.
475,ADV,.
476,PRON,.
477,PRON,.
478,DET,.
479,ADP,.
480,DET,.
481,ADP,.
482,NOUN,.
483,NOUN,.
484,ADV,.
485,DET,.
486,DET,.
487,ADV,.
488,ADP,.
489,DET,.
490,DET,.
491,CONJ,.
492,NOUN,.
493,ADV,.
494,.,.
495,NUM,.
496,CONJ,.
497,PRT,.
498,ADV,.
499,ADV,.
500,PRON,.
501,ADP,.
502,NOUN,NOUN
503,ADP,.
504,DET,.
505,ADV,.
506,DET,.
507,.,.
508,NOUN,.
509,CONJ,.
510,NOUN,.
511,VERB,.
512,PRT,.
513,DET,.
514,NOUN,.
515,DET,.
516,VERB,.
517,NOUN,.
518,DET,.
519,DET,.
520,NOUN,.
521,.,.
522,.,.
523,NOUN,.
524,.,.
525,ADP,.
526,DET,.
527,PRON,.
528,DET,.
529,DET,.
530,NOUN,.
531,DET,.
532,PRON,.
533,ADP,.
534,NOUN,.
535,VERB,.
536,CONJ,.
537,ADJ,.
538,ADP,.
539,NOUN,.
540,PRON,.
541,DET,.
542,DET,.
543,ADJ,.
544,NOUN,.
545,NOUN,.
546,.,.
547,ADP,.
548,CONJ,.
549,DET,.
550,ADP,.
551,.,.
552,PRT,.
553,DET,.
554,DET,.
555,PRON,.
556,ADV,.
557,PRON,.
558,PRON,.
559,NOUN,.
560,.,.
561,DET,.
562,ADJ,.
563,DET,.
564,PRON,.
565,ADP,.
566,ADP,.
567,PRON,.
568,NOUN,.
569,ADP,.
570,DET,.
571,VERB,.
572,ADV,.
573,NOUN,.
574,.,.
575,.,.
576,.,.
577,.,.
578,NOUN,.
579,VERB,ADV
580,CONJ,.
581,DET,.
582,DET,.
583,NOUN,.
584,NOUN,.
585,PRON,.
586,ADV,.
587,DET,.
588,CONJ,.
589,PRT,.
590,ADP,.
591,ADJ,.
592,ADP,.
593,PRON,.
594,DET,.
595,PRON,.
596,ADV,.
597,NOUN,NOUN
598,.,.
599,DET,.
600,DET,.
601,ADV,.
602,NOUN,.
603,NUM,.
604,.,.
605,NOUN,.
606,ADJ,.
607,ADP,.
608,PRON,.
609,NOUN,.
610,PRON,.
611,ADP,.
612,VERB,.
613,PRON,.
614,NOUN,.
615,DET,.
616,ADP,.
617,PRT,.
618,.,.
619,CONJ,.
620,NOUN,.
621,NOUN,.
622,PRON,.
623,DET,.
624,CONJ,.
625,ADV,.
626,ADP,.
627,.,.
628,NOUN,.
629,.,.
630,NOUN,.
631,ADP,.
632,DET,.
633,ADJ,.
634,PRT,.
635,ADP,.
636,PRT,.
637,ADP,.
638,PRON,.
639,VERB,VERB
640,ADV,.
641,DET,.
642,ADJ,.
643,ADP,.
644,DET,.
645,.,.
646,DET,.
647,VERB,.
648,NUM,.
649,ADV,.
650,PRON,.
651,DET,.
652,ADV,.
653,ADV,.
654,.,.
655,NOUN,.
656,.,.
657,PRON,.
658,DET,.
659,ADJ,.
660,DET,.
661,ADP,.
662,VERB,.
663,PRON,.
664,ADP,.
665,.,.
666,PRON,.
667,PRON,.
668,ADV,.
669,NOUN,.
670,DET,.
671,PRT,.
672,ADP,.
673,ADP,.
674,PRON,.
675,PRON,.
676,PRON,.
677,ADV,.
678,ADP,.
679,ADP,.
680,ADV,.
681,NOUN,.
682,DET,.
683,ADP,.
684,NOUN,.
685,PRON,.
686,ADP,.
687,DET,.
688,ADV,.
689,ADP,.
690,DET,.
691,DET,.
692,PRON,.
693,PRON,.
694,ADJ,NOUN
695,NOUN,.
696,DET,.
697,NOUN,.
698,NOUN,.
699,.,.
700,NOUN,.
701,CONJ,.
702,NUM,.
703,ADP,.
704,PRT,.
705,NOUN,.
706,.,.
707,NUM,.
708,NUM,.
709,PRON,.
710,DET,.
711,ADP,.
712,NOUN,.
713,CONJ,.
714,NOUN,NOUN
715,ADV,.
716,ADJ,.
717,NOUN,.
718,DET,.
719,PRON,.
720,DET,.
721,VERB,.
722,ADP,.
723,NOUN,.
724,PRON,.
725,DET,.
726,ADV,.
727,DET,NOUN
728,PRON,.
729,NOUN,.
730,ADV,.
731,NOUN,.
732,NOUN,.
733,NOUN,.
734,PRON,.
735,DET,.
736,CONJ,.
737,PRT,.
738,PRON,.
739,PRON,.
740,DET,.
741,ADP,.
742,DET,.
743,DET,.
744,DET,.
745,ADP,.
746,PRON,.
747,DET,.
748,ADP,.
749,.,.
750,.,.
751,ADP,.
752,ADV,.
753,PRT,.
754,VERB,.
755,NOUN,.
756,DET,.
757,NOUN,.
758,NOUN,.
759,DET,.
760,PRON,.
761,NOUN,NOUN
762,ADJ,NOUN
763,NOUN,NOUN
764,ADJ,.
765,ADP,.
766,DET,.
767,ADP,.
768,DET,.
769,PRON,.
770,NOUN,NOUN
771,NOUN,.
772,ADV,.
773,NOUN,.
774,ADV,.
775,ADP,.
776,PRON,.
777,PRON,.
778,DET,.
779,PRON,.
780,DET,.
781,.,.
782,PRON,.
783,PRON,.
784,VERB,.
785,PRT,.
786,NOUN,.
787,ADP,.
788,NOUN,.
789,CONJ,.
790,VERB,.
791,.,.
792,DET,.
793,NOUN,.
794,.,.
795,PRT,.
796,DET,.
797,ADP,.
798,PRON,.
799,ADV,.
800,NOUN,.
801,PRON,.
802,ADV,.
803,DET,.
804,ADP,.
805,.,.
806,DET,.
807,.,NOUN
808,DET,.
809,DET,.
810,NUM,.
811,.,.
812,NOUN,.
813,DET,.
814,NOUN,.
815,DET,.
816,NOUN,.
817,ADP,.
818,NOUN,.
819,.,.
820,ADV,.
821,NOUN,NUM
822,DET,.
823,DET,.
824,PRON,.
825,CONJ,.
826,PRON,.
827,VERB,.
828,DET,.
829,ADP,.
830,ADP,.
831,ADP,.
832,VERB,.
833,NOUN,.
834,PRON,.
835,DET,.
836,NOUN,.
837,DET,.
838,VERB,.
839,PRON,.
840,ADP,.
841,NOUN,.
842,DET,.
843,PRON,.
844,PRON,.
845,.,.
846,ADP,.
847,DET,.
848,ADP,.
849,NOUN,.
850,PRT,.
851,PRT,.
852,NOUN,.
853,ADV,.
854,ADV,.
855,VERB,.
856,NOUN,.
857,ADV,.
858,CONJ,.
859,ADV,.
860,.,.
861,ADP,.
862,DET,.
863,DET,.
864,ADV,.
865,CONJ,.
866,ADV,.
867,DET,.
868,DET,.
869,NOUN,.
870,VERB,.
871,PRON,.
872,ADJ,.
873,ADV,.
874,CONJ,.
875,DET,.
876,ADP,.
877,VERB,.
878,VERB,NOUN
879,CONJ,.
880,DET,.
881,DET,.
882,NOUN,.
883,NOUN,.
884,ADP,.
885,DET,.
886,DET,.
887,DET,.
888,DET,.
889,DET,.
890,VERB,.
891,DET,.
892,NOUN,.
893,ADV,.
894,.,.
895,VERB,.
896,DET,.
897,ADV,.
898,DET,.
899,ADP,.
900,PRT,.
901,ADP,.
902,DET,.
903,PRON,.
904,DET,.
905,PRON,.
906,ADV,.
907,PRON,.
908,DET,.
909,ADV,.
910,NOUN,.
911,PRON,.
912,PRON,.
913,PRON,.
914,ADP,.
915,ADP,.
916,PRON,.
917,NOUN,.
918,NOUN,ADJ
919,ADP,.
920,PRON,.
921,VERB,.
922,ADP,.
923,PRT,.
924,PRON,.
925,PRT,.
926,PRON,.
927,ADV,.
928,PRT,.
929,PRON,.
930,VERB,ADJ
931,ADV,.
932,NOUN,.
933,DET,.
934,NOUN,.
935,ADP,.
936,VERB,.
937,DET,.
938,DET,.
939,PRT,.
940,PRON,.
941,DET,.
942,VERB,.
943,PRON,.
944,ADV,.
945,ADJ,.
946,NOUN,.
947,VERB,.
948,DET,.
949,DET,.
950,DET,.
951,ADV,.
952,ADP,.
953,ADV,.
954,DET,.
955,NOUN,.
956,NOUN,.
957,PRON,.
958,PRON,.
959,.,.
960,DET,.
961,VERB,.
962,PRON,.
963,ADV,.
964,PRON,.
965,PRT,.
966,DET,.
967,CONJ,.
968,DET,.
969,VERB,.
970,ADJ,VERB
971,PRON,.
972,PRON,.
973,ADV,.
974,.,.
975,PRT,.
976,DET,.
977,DET,.
978,NOUN,.
979,NOUN,.
980,ADV,.
981,PRT,.
982,PRT,.
983,PRON,.
984,NOUN,.
985,ADP,.
986,PRT,.
987,ADP,.
988,DET,.
989,DET,.
990,ADP,.
991,NOUN,.
992,PRON,.
993,PRON,.
994,NOUN,.
995,ADP,.
996,ADP,.
997,DET,.
998,ADJ,.
999,ADJ,.
1000,.,.
1001,ADJ,NOUN
1002,NOUN,.
1003,DET,.
1004,DET,.
1005,CONJ,.
1006,DET,.
1007,VERB,.
1008,ADV,.
1009,DET,.
1010,ADV,.
1011,ADP,.
1012,DET,.
1013,NUM,.
1014,ADP,.
1015,CONJ,.
1016,CONJ,.
1017,DET,.
1018,DET,.
1019,DET,.
1020,PRT,.
1021,.,.
1022,ADV,.
1023,ADV,.
1024,PRON,.
1025,PRON,.
1026,.,.
1027,DET,.
1028,ADV,.
1029,ADP,.
1030,.,.
1031,ADP,.
1032,NOUN,.
1033,NOUN,.
1034,PRON,.
1035,.,.
1036,ADV,.
1037,ADP,.
1038,NOUN,.
1039,VERB,.
1040,DET,.
1041,DET,.
1042,ADV,.
1043,ADV,.
1044,ADV,.
1045,ADP,.
1046,.,.
1047,PRON,.
1048,PRON,.
1049,DET,.
1050,ADP,.
1051,PRON,.
1052,VERB,.
1053,DET,.
1054,ADP,.
1055,PRT,.
1056,.,.
1057,ADP,.
1058,ADV,.
1059,CONJ,.
1060,DET,.
1061,DET,NOUN
1062,CONJ,.
1063,VERB,.
1064,NOUN,.
1065,ADV,.
1066,.,.
1067,DET,.
1068,ADV,.
1069,VERB,.
1070,DET,.
1071,ADV,.
1072,PRON,.
1073,PRON,.
1074,DET,.
1075,ADP,.
1076,ADJ,.
1077,ADP,.
1078,.,.
1079,DET,.
1080,PRT,.
1081,DET,.
1082,.,.
1083,VERB,.
1084,PRON,.
1085,DET,.
1086,ADP,.
1087,.,.
1088,.,.
1089,NOUN,.
1090,.,.
1091,DET,.
1092,NOUN,.
1093,ADP,.
1094,NOUN,NOUN
1095,DET,.
1096,ADJ,.
1097,DET,.
1098,NOUN,.
1099,VERB,.
1100,DET,.
1101,PRON,.
1102,NOUN,.
1103,DET,.
1104,NOUN,.
1105,.,.
1106,ADJ,.
1107,ADV,.
1108,NOUN,.
1109,.,.
1110,DET,.
1111,PRON,.
1112,PRON,.
1113,PRON,.
1114,CONJ,.
1115,PRON,.
1116,ADP,.
1117,ADP,.
1118,NOUN,.
1119,ADP,.
1120,CONJ,.
1121,DET,.
1122,NOUN,.
1123,NOUN,.
1124,PRON,.
1125,CONJ,.
1126,ADV,.
1127,NOUN,.
1128,ADP,.
1129,PRON,.
1130,ADP,.
1131,VERB,ADP
1132,PRT,.
1133,.,.
1134,DET,.
1135,VERB,.
1136,DET,.
1137,DET,.
1138,ADV,.
1139,PRON,.
1140,.,.
1141,ADP,.
1142,DET,.
1143,NOUN,.
1144,PRT,.
1145,PRON,.
1146,ADP,.
1147,ADV,.
1148,ADV,.
1149,ADV,.
1150,ADV,.
1151,PRON,.
1152,PRON,.
1153,DET,.
1154,ADP,.
1155,ADV,.
1156,ADV,.
1157,.,.
1158,DET,.
1159,ADP,.
1160,DET,.
1161,DET,.
1162,PRON,.
1163,ADV,.
1164,NOUN,NOUN
1165,DET,.
1166,DET,.
1167,DET,.
1168,DET,.
1169,PRT,.
1170,ADP,.
1171,ADJ,.
1172,CONJ,.
1173,NOUN,.
1174,NOUN,.
1175,ADV,.
1176,CONJ,.
1177,DET,.
1178,ADJ,NOUN
1179,DET,.
1180,NOUN,.
1181,PRON,.
1182,CONJ,.
1183,ADV,.
1184,PRT,.
1185,ADP,.
1186,DET,.
1187,NOUN,.
1188,DET,.
1189,NOUN,.
1190,PRT,.
1191,NOUN,.
1192,PRT,.
1193,ADV,.
1194,DET,.
1195,ADP,.
1196,CONJ,.
1197,NOUN,.
1198,ADP,.
1199,PRT,.
1200,ADP,.
1201,PRON,.
1202,NOUN,.
1203,ADJ,.
1204,ADV,.
1205,NOUN,.
1206,ADP,.
1207,PRON,.
1208,PRT,.
1209,CONJ,.
1210,PRON,.
1211,ADP,.
1212,PRON,.
1213,ADV,.
1214,CONJ,.
1215,ADP,.
1216,DET,.
1217,DET,.
1218,PRON,.
1219,PRT,.
1220,.,.
1221,DET,.
1222,VERB,.
1223,NOUN,.
1224,NOUN,.
1225,DET,.
1226,ADP,.
1227,ADV,.
1228,ADP,.
1229,VERB,.
1230,.,.
1231,.,.
1232,PRON,.
1233,ADV,.
1234,CONJ,.
1235,ADP,.
1236,NOUN,.
1237,PRON,.
1238,PRON,.
1239,PRON,.
1240,.,.
1241,.,.
1242,DET,.
1243,ADV,.
1244,ADP,.
1245,NOUN,.
1246,PRON,.
1247,ADV,.
1248,.,.
1249,CONJ,.
1250,ADP,.
1251,NOUN,.
1252,ADV,.
1253,.,.
1254,NOUN,.
1255,ADP,.
1256,DET,.
1257,DET,.
1258,DET,.
1259,NUM,.
1260,NOUN,.
1261,PRT,.
1262,DET,.
1263,NOUN,.
1264,PRON,.
1265,ADP,.
1266,ADP,.
1267,NOUN,.
1268,DET,.
1269,PRON,.
1270,.,.
1271,DET,.
1272,DET,.
1273,CONJ,.
1274,PRON,.
1275,ADP,.
1276,CONJ,.
1277,ADP,.
1278,ADJ,.
1279,NOUN,.
1280,NOUN,.
1281,.,.
1282,ADP,.
1283,ADJ,.
1284,NOUN,.
1285,.,.
1286,PRON,.
1287,ADP,.
1288,PRON,.
1289,PRON,.
1290,ADP,.
1291,ADP,.
1292,DET,.
1293,DET,.
1294,PRON,.
1295,ADJ,.
1296,DET,.
1297,PRON,.
1298,ADP,.
1299,DET,.
1300,DET,.
1301,.,.
1302,DET,.
1303,ADP,.
1304,VERB,.
1305,PRON,.
1306,.,.
1307,.,.
1308,PRON,.
1309,DET,.
1310,PRON,.
1311,PRT,.
1312,NUM,.
1313,PRT,.
1314,DET,.
1315,NOUN,.
1316,PRT,.
1317,DET,.
1318,NOUN,.
1319,.,.
1320,CONJ,.
1321,NOUN,.
1322,DET,.
1323,PRON,.
1324,ADP,.
1325,PRT,.
1326,PRON,.
1327,DET,.
1328,NUM,.
1329,ADP,.
1330,NOUN,.
1331,ADJ,.
1332,ADP,.
1333,ADP,.
1334,NOUN,.
1335,ADJ,.
1336,DET,.
1337,.,.
1338,DET,.
1339,DET,.
1340,.,.
1341,PRON,.
1342,DET,.
1343,.,.
1344,.,.
1345,NOUN,.
1346,PRON,.
1347,.,.
1348,PRON,.
1349,NOUN,.
1350,.,.
1351,ADP,.
1352,DET,.
1353,ADV,.
1354,PRON,.
1355,DET,.
1356,PRON,.
1357,NOUN,.
1358,ADP,.
1359,PRT,.
1360,CONJ,.
1361,NOUN,.
1362,PRON,.
1363,.,.
1364,.,.
1365,DET,.
1366,ADJ,.
1367,ADP,.
1368,.,.
1369,NOUN,.
1370,DET,.
1371,DET,.
1372,NOUN,.
1373,PRON,.
1374,NOUN,.
1375,PRT,.
1376,DET,.
1377,ADJ,.
1378,.,.
1379,NOUN,.
1380,ADV,.
1381,NOUN,.
1382,ADV,.
1383,ADP,.
1384,PRON,.
1385,NOUN,.
1386,PRON,.
1387,.,.
1388,DET,.
1389,NOUN,.
1390,.,.
1391,ADP,.
1392,ADV,.
1393,ADP,.
1394,ADV,.
1395,.,.
1396,ADJ,.
1397,DET,.
1398,.,.
1399,DET,.
1400,ADP,.
1401,PRT,.
1402,DET,.
1403,ADV,.
1404,.,.
1405,NOUN,.
1406,ADJ,.
1407,NOUN,.
1408,DET,.
1409,PRON,.
1410,ADV,.
1411,DET,.
1412,.,.
1413,ADP,.
1414,ADJ,.
1415,NOUN,.
1416,DET,.
1417,.,.
1418,NOUN,.
1419,NOUN,.
1420,CONJ,.
1421,.,.
1422,CONJ,.
1423,NOUN,.
1424,VERB,.
1425,DET,.
1426,PRON,.
1427,.,.
1428,NUM,.
1429,NOUN,.
1430,CONJ,.
1431,.,.
1432,ADP,.
1433,ADJ,.
1434,DET,.
1435,NUM,.
1436,PRT,.
1437,NOUN,.
1438,DET,.
1439,DET,.
1440,ADP,.
1441,DET,.
1442,NOUN,NOUN
1443,PRON,.
1444,PRON,.
1445,ADP,.
1446,VERB,NOUN
1447,ADP,.
1448,.,.
1449,ADV,.
1450,PRON,.
1451,NOUN,.
1452,DET,.
1453,NOUN,.
1454,NOUN,.
1455,DET,.
1456,ADP,.
1457,CONJ,.
1458,ADP,.
1459,VERB,.
1460,DET,.
1461,ADV,.
1462,ADV,.
1463,NUM,.
1464,.,.
1465,PRON,.
1466,NOUN,.
1467,VERB,.
1468,NOUN,.
1469,DET,.
1470,DET,.
1471,NOUN,.
1472,ADJ,.
1473,NOUN,.
1474,ADP,.
1475,PRT,.
1476,DET,.
1477,DET,.
1478,ADJ,NOUN
1479,DET,.
1480,ADP,.
1481,DET,.
1482,.,.
1483,ADV,.
1484,PRON,.
1485,ADP,.
1486,PRT,.
1487,DET,.
1488,PRON,.
1489,ADP,.
1490,ADV,.
1491,DET,.
1492,VERB,.
1493,VERB,.
1494,CONJ,.
1495,DET,.
1496,ADP,.
1497,CONJ,.
1498,.,.
1499,ADV,.
1500,DET,.
1501,NOUN,.
1502,DET,.
1503,PRON,.
1504,NOUN,.
1505,.,.
1506,DET,.
1507,ADP,.
1508,ADV,.
1509,ADV,.
1510,.,.
1511,PRON,.
1512,ADP,.
1513,DET,.
1514,PRON,.
1515,NOUN,.
1516,ADP,.
1517,PRON,.
1518,NOUN,.
1519,DET,.
1520,PRON,.
1521,CONJ,.
1522,.,.
1523,ADV,.
1524,NUM,.
1525,PRON,.
1526,VERB,.
1527,DET,.
1528,NOUN,.
1529,PRON,.
1530,ADP,.
1531,DET,.
1532,VERB,.
1533,DET,.
1534,PRT,.
1535,CONJ,.
1536,PRON,.
1537,PRON,.
1538,ADJ,.
1539,ADP,.
1540,PRON,.
1541,NOUN,NOUN
1542,NOUN,.
1543,ADP,.
1544,.,.
1545,NOUN,NOUN
1546,ADJ,.
1547,VERB,.
1548,ADJ,.
1549,DET,.
1550,PRON,.
1551,ADV,.
1552,PRT,.
1553,ADV,.
1554,PRON,.
1555,DET,.
1556,ADP,.
1557,NOUN,.
1558,PRON,.
1559,ADV,.
1560,VERB,.
1561,PRON,.
1562,CONJ,.
1563,ADJ,.
1564,PRON,.
1565,ADP,.
1566,.,.
1567,CONJ,.
1568,NOUN,.
1569,PRON,.
1570,VERB,.
1571,NUM,.
1572,DET,.
1573,VERB,.
1574,DET,.
1575,ADV,.
1576,DET,.
1577,ADP,.
1578,DET,.
1579,.,.
1580,ADP,.
1581,PRON,.
1582,ADP,.
1583,PRON,.
1584,ADJ,.
1585,DET,.
1586,ADP,.
1587,NOUN,.
1588,DET,.
1589,ADP,.
1590,ADV,.
1591,DET,.
1592,DET,.
1593,ADP,.
1594,ADP,.
1595,DET,.
1596,PRON,.
1597,ADP,.
1598,ADP,.
1599,PRON,.
1600,DET,.
1601,ADV,.
1602,CONJ,.
1603,PRON,.
1604,PRON,.
1605,.,.
1606,CONJ,.
1607,NUM,.
1608,ADJ,.
1609,DET,.
1610,.,.
1611,NOUN,.
1612,ADP,.
1613,ADP,.
1614,VERB,.
1615,ADP,.
1616,CONJ,.
1617,ADJ,.
1618,NUM,.
1619,.,.
1620,ADV,.
1621,ADP,.
1622,NOUN,NUM
1623,DET,.
1624,ADV,.
1625,ADP,.
1626,DET,.
1627,NOUN,.
1628,PRT,.
1629,ADP,.
1630,NOUN,.
1631,DET,.
1632,NOUN,.
1633,ADP,.
1634,ADV,.
1635,PRON,.
1636,ADP,.
1637,DET,.
1638,.,.
1639,.,.
1640,ADV,.
1641,PRON,.
1642,DET,.
1643,PRON,.
1644,NOUN,.
1645,DET,.
1646,ADV,.
1647,ADJ,.
1648,PRON,.
1649,PRT,.
1650,.,.
1651,.,.
1652,DET,.
1653,DET,.
1654,CONJ,.
1655,DET,.
1656,PRT,.
1657,NOUN,.
1658,PRON,.
1659,PRON,.
1660,CONJ,.
1661,.,.
1662,ADP,.
1663,PRON,.
1664,.,.
1665,NOUN,.
1666,VERB,.
1667,ADP,.
1668,NOUN,.
1669,DET,.
1670,DET,.
1671,PRON,.
1672,NOUN,.
1673,DET,.
1674,ADV,.
1675,NOUN,.
