,Type,Word,Count
93,ADJ,20-year-old,2
94,ADJ,200-man,1
95,ADJ,200-megaton,1
96,ADJ,205-pound,1
97,ADJ,208-pound,1
98,ADJ,20th,12
99,ADJ,21-inch,2
100,ADJ,21-year,1
101,ADJ,21-year-old,1
102,ADJ,21st,3
103,ADJ,22-acre,1
104,ADJ,22-day,1
105,ADJ,22-year-old,2
106,ADJ,220-yard,1
107,ADJ,225/hp,1
108,ADJ,22nd,3
109,ADJ,23-year-old,1
110,ADJ,23d,5
111,ADJ,23rd,3
112,ADJ,24-hour,1
113,ADJ,24-hr.,8
114,ADJ,24-in.,1
115,ADJ,24-inch,1
116,ADJ,24-sheet,1
117,ADJ,240-grain,2
118,ADJ,24th,7
119,ADJ,"25,000-man",1
120,ADJ,25-foot,1
121,ADJ,25-ft.,1
122,ADJ,25-gallon,1
123,ADJ,25-liter,1
124,ADJ,25-mile-square,1
125,ADJ,25-minute,1
126,ADJ,25-year-old,1
127,ADJ,25th,2
128,ADJ,26-year-old,1
129,ADJ,260-member,1
130,ADJ,26th,2
131,ADJ,27-year-old,1
132,ADJ,27th,1
133,ADJ,28th,6
134,ADJ,29th,5
135,ADJ,2d,3
136,ADJ,2nd,3
137,ADJ,3,2
138,ADJ,"3,000-foot",1
139,ADJ,3-foot,1
140,ADJ,3-game,1
141,ADJ,3-hp.,1
142,ADJ,3-inch,1
143,ADJ,3-month,1
144,ADJ,3-run,1
145,ADJ,3-year-old,1
146,ADJ,3/8-inch-thick,1
147,ADJ,30-inch,1
148,ADJ,30-minute,1
149,ADJ,30-piece,1
150,ADJ,30-year,1
151,ADJ,300th,1
152,ADJ,30th,5
153,ADJ,31st,2
154,ADJ,33-man,1
155,ADJ,33d,1
156,ADJ,34-hour,1
157,ADJ,35-foot,1
158,ADJ,35-mm.-wide,1
159,ADJ,350th,1
160,ADJ,36th,1
161,ADJ,37-year-old,1
162,ADJ,37th,1
163,ADJ,38-point,1
164,ADJ,380-foot,1
165,ADJ,39-year-old,1
166,ADJ,390-foot,1
167,ADJ,3rd,5
168,ADJ,"4,000-foot",1
169,ADJ,4-cell,1
170,ADJ,4-day,2
171,ADJ,4-homer,1
172,ADJ,4-inch,3
173,ADJ,4-month,1
174,ADJ,4-passenger,1
175,ADJ,4-under-par,1
176,ADJ,4-year,2
177,ADJ,4-year-old,1
178,ADJ,40-grain,1
179,ADJ,40-year-old,2
180,ADJ,400-pound,1
181,ADJ,42-inch,2
182,ADJ,42d,1
183,ADJ,44-year-old,3
184,ADJ,45-degree,3
185,ADJ,45-passenger,1
186,ADJ,450-mile-long,1
187,ADJ,46th,2
188,ADJ,49th,1
189,ADJ,4th,8
190,ADJ,5-day,2
191,ADJ,5-foot,2
192,ADJ,5-game,1
193,ADJ,5-mile,1
194,ADJ,5-passenger,1
195,ADJ,5-run,2
196,ADJ,50-foot,3
197,ADJ,50-inch,1
198,ADJ,50-megaton,4
199,ADJ,50-year,1
200,ADJ,50-year-old,1
201,ADJ,500-mile,2
202,ADJ,5000-word,1
203,ADJ,508-yard,1
204,ADJ,50th,2
205,ADJ,51st,2
206,ADJ,52-year,1
207,ADJ,52-year-old,1
208,ADJ,520-acre,1
209,ADJ,52nd,1
210,ADJ,53-year-old,1
211,ADJ,545-yard,1
212,ADJ,54th,1
213,ADJ,56-yard,1
214,ADJ,58th,2
215,ADJ,5th,1
216,ADJ,6-foot,2
217,ADJ,6-foot-10,1
218,ADJ,6-foot-3-inch,1
219,ADJ,6-hr.,4
220,ADJ,6-inch,2
221,ADJ,6-ounce,1
222,ADJ,6-passenger,2
223,ADJ,6-year,1
224,ADJ,60-city,1
225,ADJ,60-day,1
226,ADJ,60-inch,1
227,ADJ,60-month,1
228,ADJ,600-mile,1
229,ADJ,600-yard,1
230,ADJ,61st,1
231,ADJ,62-year-old,1
232,ADJ,63d,1
233,ADJ,64-cent,1
234,ADJ,64-page,1
235,ADJ,645-acre,1
236,ADJ,65-year-old,1
237,ADJ,66th,1
238,ADJ,67-year-old,1
239,ADJ,689-page,1
240,ADJ,6th,6
241,ADJ,7-day,1
242,ADJ,7-passenger,2
243,ADJ,7-room,1
244,ADJ,70-mile-long,1
245,ADJ,70-year-old,1
246,ADJ,700-mile,1
247,ADJ,701st,1
248,ADJ,70th,1
249,ADJ,72-hole,1
250,ADJ,72nd,2
251,ADJ,"75,000-ton",1
252,ADJ,75-minute,1
253,ADJ,75th,1
254,ADJ,78th,2
255,ADJ,7th,12
256,ADJ,8-1/2-foot,1
257,ADJ,8-channel,1
258,ADJ,8-inch,2
259,ADJ,8-year-old,1
260,ADJ,80-hp,1
261,ADJ,80th,1
262,ADJ,83rd,1
263,ADJ,85-piece,1
264,ADJ,85-student,1
265,ADJ,87th,2
266,ADJ,8th,3
267,ADJ,90-day,1
268,ADJ,90-degree,2
269,ADJ,900-calorie,1
270,ADJ,900-student,1
271,ADJ,9th,7
272,ADJ,A-1,2
273,ADJ,Abnormal,1
274,ADJ,Aboveground,1
275,ADJ,Absent-minded,1
276,ADJ,Abstract,4
277,ADJ,Acceptable,1
278,ADJ,Accidental,1
279,ADJ,Acoustical,1
280,ADJ,Active,6
281,ADJ,Actual,3
282,ADJ,Additional,14
283,ADJ,Adequate,1
284,ADJ,Administrative,4
285,ADJ,Advance,1
286,ADJ,Advanced,2
287,ADJ,Adverbial,1
288,ADJ,Advisory,14
289,ADJ,Aegean,6
290,ADJ,Afraid,2
291,ADJ,African,24
292,ADJ,Afro-Asian,4
293,ADJ,Afro-Cuban,1
294,ADJ,Aggregate,1
295,ADJ,Agreeable,3
296,ADJ,Agricultural,3
297,ADJ,Airless,1
298,ADJ,Airy,1
299,ADJ,Albanian,2
300,ADJ,Algerian,4
301,ADJ,All-Star,1
302,ADJ,All-weather,1
303,ADJ,Almighty,2
304,ADJ,Alone,1
305,ADJ,Alternate,1
306,ADJ,Amateur,1
307,ADJ,Amen,7
308,ADJ,American,535
309,ADJ,American-Jewish,1
310,ADJ,American-trained,1
311,ADJ,Analytical,5
312,ADJ,Ancient,6
313,ADJ,Andean,2
314,ADJ,Anglican,11
315,ADJ,Anglo-American,2
316,ADJ,Anglo-Jewish,1
317,ADJ,Anglo-Protestant,1
318,ADJ,Anglo-Saxon,20
319,ADJ,Angry,3
320,ADJ,Aniseikonic,1
321,ADJ,Annual,4
322,ADJ,Anti-A,1
323,ADJ,Anti-Communist,2
324,ADJ,Anti-recession,1
325,ADJ,Antisubmarine,1
326,ADJ,Antithyroid,2
327,ADJ,Anxious,1
328,ADJ,Apocalyptic,2
329,ADJ,Apollonian,1
330,ADJ,Appropriate,1
331,ADJ,Apropos,1
332,ADJ,Arabian,2
333,ADJ,Arabian-American,1
334,ADJ,Arabic,5
335,ADJ,Arbitrary,1
336,ADJ,Arctic,2
337,ADJ,Ardent,1
338,ADJ,Argive,1
339,ADJ,Aristotelean-Thomistic,1
340,ADJ,Aristotelian,2
341,ADJ,Armenian,1
342,ADJ,Arterial,1
343,ADJ,Artistic,1
344,ADJ,Ashamed,1
345,ADJ,Ashmolean,1
346,ADJ,Asian,10
347,ADJ,Asiatic,1
348,ADJ,Assistant,10
349,ADJ,Assyrian,1
350,ADJ,Asteroidal,1
351,ADJ,Athenian,2
352,ADJ,Athletic,5
353,ADJ,Atlantic,30
354,ADJ,Atomic,8
355,ADJ,Attic,1
356,ADJ,Augustan,1
357,ADJ,Australian,4
358,ADJ,Austrian,4
359,ADJ,Automatic,1
360,ADJ,Available,5
361,ADJ,Average,1
362,ADJ,Babylonian,2
363,ADJ,Back,2
364,ADJ,Bacterial,1
365,ADJ,Bad,3
366,ADJ,Bake,1
367,ADJ,Ballistic,2
368,ADJ,Baltic,1
369,ADJ,Bantu,1
370,ADJ,Baptist,1
371,ADJ,Bare,1
372,ADJ,Baroque,3
373,ADJ,Barre-Montpelier,1
374,ADJ,Barren,1
375,ADJ,Basic,8
376,ADJ,Bathyran,1
377,ADJ,Beat,1
378,ADJ,Beautiful,5
379,ADJ,Bedridden,1
380,ADJ,Belated,1
381,ADJ,Belgian,14
382,ADJ,Beloved,1
383,ADJ,Benedictine,1
384,ADJ,Bengali,1
385,ADJ,Best,6
386,ADJ,Better,5
387,ADJ,Bible-emancipated,1
388,ADJ,Bible-loving,1
389,ADJ,Biblical,15
390,ADJ,Big,43
391,ADJ,Biggest,2
392,ADJ,Binomial,2
393,ADJ,Bio-Dynamic,1
394,ADJ,Biological,5
395,ADJ,Bitter,1
396,ADJ,Bizarre,1
397,ADJ,Black,18
398,ADJ,Blasphemous,1
399,ADJ,Bleak,1
400,ADJ,Blind,1
401,ADJ,Blue,44
402,ADJ,Blunt,1
403,ADJ,Bodily,1
404,ADJ,Body-building,1
405,ADJ,Boeotian,1
406,ADJ,Bogartian,1
407,ADJ,Bold,1
408,ADJ,Bolshevistic,1
409,ADJ,Booby,1
410,ADJ,Botulinal,1
411,ADJ,Braddock-against-the-Indians,1
412,ADJ,Brahmsian,2
413,ADJ,Brave,3
414,ADJ,Brazilian,3
415,ADJ,Brevet,1
416,ADJ,Brief,3
417,ADJ,Bright,4
418,ADJ,Britannic,1
419,ADJ,British,101
420,ADJ,British-American,1
421,ADJ,British-born,1
422,ADJ,Broad,1
423,ADJ,Brown,5
424,ADJ,Buddhist,3
425,ADJ,Budgetary,1
426,ADJ,Bully,1
427,ADJ,Burgundian,1
428,ADJ,Burly,1
429,ADJ,Burmese,2
430,ADJ,Byronic,1
431,ADJ,Byzantine,5
432,ADJ,Calm,1
433,ADJ,Calmer,1
434,ADJ,Calvinist,1
435,ADJ,Canadian,6
436,ADJ,Capable,2
437,ADJ,Capellan,1
438,ADJ,Capitalist,1
439,ADJ,Cardiovasculatory,1
440,ADJ,Careful,2
441,ADJ,Careless,1
442,ADJ,Carolingian,1
443,ADJ,Cartesian,1
444,ADJ,Cassite,1
445,ADJ,Castro-held,1
446,ADJ,Catholic,83
447,ADJ,Caucasian,1
448,ADJ,Cautious,1
449,ADJ,Ceartaine,1
450,ADJ,Celtic,7
451,ADJ,Central,59
452,ADJ,Ceramic,1
453,ADJ,Cerebral,1
454,ADJ,Ceremonial,1
455,ADJ,Certain,10
456,ADJ,Changeable,1
457,ADJ,Channel-type,2
458,ADJ,Charitable,1
459,ADJ,Charming,1
460,ADJ,Cheap,1
461,ADJ,Cheerful,1
462,ADJ,Chemical,2
463,ADJ,Cherokee,1
464,ADJ,Chicago-style,1
465,ADJ,Chief,12
466,ADJ,Chinese,38
467,ADJ,Chinese-Soviet,1
468,ADJ,Chinese-inspired,1
469,ADJ,Choctaw,1
470,ADJ,Choral,1
471,ADJ,Christ-like,1
472,ADJ,Christian,131
473,ADJ,Christmas-season,1
474,ADJ,Churchillian,1
475,ADJ,Ciceronian,1
476,ADJ,Circular,2
477,ADJ,Civic,4
478,ADJ,Civil,46
479,ADJ,Civilian,1
480,ADJ,Classic,1
481,ADJ,Classical,5
482,ADJ,Clean,1
483,ADJ,Clearer,1
484,ADJ,Clever,2
485,ADJ,Clinico-pathologic,3
486,ADJ,Co-operative,1
487,ADJ,Coastal,1
488,ADJ,Cold,9
489,ADJ,Collegiate,1
490,ADJ,Colombian,1
491,ADJ,Colonial,7
492,ADJ,Colorful,1
493,ADJ,Commercial,1
494,ADJ,Commission-controlled,1
495,ADJ,Common,10
496,ADJ,Communist,24
497,ADJ,Communist-inspired,1
498,ADJ,Communist-led,2
499,ADJ,Communist-type,1
500,ADJ,Communistic,1
501,ADJ,Comparable,2
502,ADJ,Competent,1
503,ADJ,Competitive,1
504,ADJ,Complete,2
505,ADJ,Composite,1
506,ADJ,Comprehensive,1
507,ADJ,Compulsory,1
508,ADJ,Confederate,13
509,ADJ,Confucian,2
510,ADJ,Congolese,7
511,ADJ,Congregational,7
512,ADJ,Congregational-Baptist,2
513,ADJ,Congressional,9
514,ADJ,Conservative,1
515,ADJ,Considerable,2
516,ADJ,Consitutional,1
517,ADJ,Consonantal,1
518,ADJ,Constant,1
519,ADJ,Constitutional,1
520,ADJ,Contemporary,1
521,ADJ,Content,1
522,ADJ,Continental,15
523,ADJ,Continuous,3
524,ADJ,Contrary,6
525,ADJ,Conventional,2
526,ADJ,Cool,2
527,ADJ,Coolest,1
528,ADJ,Cooperative,2
529,ADJ,Copernican,8
530,ADJ,Corinthian,5
531,ADJ,Corporate,1
532,ADJ,Correct,1
533,ADJ,Crazy,2
534,ADJ,Creative,1
535,ADJ,Crimean,2
536,ADJ,Criminal,4
537,ADJ,Critical,3
538,ADJ,Cromwellian,1
539,ADJ,Crooked,1
540,ADJ,Cruel,1
541,ADJ,Cryptic,1
542,ADJ,Crystallographic,3
543,ADJ,Cuban,13
544,ADJ,Cubist,5
545,ADJ,Cultural,6
546,ADJ,Cumulative,1
547,ADJ,Curious,1
548,ADJ,Curly,1
549,ADJ,Current,3
550,ADJ,Custom,3
551,ADJ,Customary,1
552,ADJ,Cynical,1
553,ADJ,D.O.A.,1
554,ADJ,Daily,23
555,ADJ,Dallas-based,1
556,ADJ,Dallas-headquartered,1
557,ADJ,Damp,1
558,ADJ,Dangerous,2
559,ADJ,Danish,8
560,ADJ,Dark,12
561,ADJ,Darkling,1
562,ADJ,Dauntless,1
563,ADJ,Dead,4
564,ADJ,Deadly,1
565,ADJ,Deaf,1
566,ADJ,Dear,7
567,ADJ,Death's-Head,2
568,ADJ,Declarative,2
569,ADJ,Deductible,1
570,ADJ,Deep,2
571,ADJ,Definite,1
572,ADJ,Deluxe,1
573,ADJ,Democratic,68
574,ADJ,Democratic-endorsed,2
575,ADJ,Democratic-sponsored,1
576,ADJ,Denver-area,1
577,ADJ,Dependent,1
578,ADJ,Deputy,4
579,ADJ,Descriptive,1
580,ADJ,Devout,1
581,ADJ,Diametric,1
582,ADJ,Dietary,1
583,ADJ,Dietetic,1
584,ADJ,Different,6
585,ADJ,Differential,1
586,ADJ,Difficult,1
587,ADJ,Dingy-looking,1
588,ADJ,Diocesan,1
589,ADJ,Dionysian,2
590,ADJ,Diplomatic,1
591,ADJ,Direct,7
592,ADJ,Dirty,1
593,ADJ,Disciplinary,1
594,ADJ,Discreet,1
595,ADJ,Distinguished,1
596,ADJ,Distributive,1
597,ADJ,Divergent,1
598,ADJ,Divine,4
599,ADJ,Domestic,3
600,ADJ,Dominant,3
601,ADJ,Dominican,8
602,ADJ,Doric,4
603,ADJ,Double,2
604,ADJ,Doubtful,1
605,ADJ,Dramatic,1
606,ADJ,Drawing,1
607,ADJ,Drunk,3
608,ADJ,Drunken,1
609,ADJ,Dry,2
610,ADJ,Due,2
611,ADJ,Duplicate,1
612,ADJ,Dutch,11
613,ADJ,E.,1
614,ADJ,Eager,1
615,ADJ,Early,15
616,ADJ,Easier,1
617,ADJ,East,97
618,ADJ,East-West,4
619,ADJ,Eastern,21
620,ADJ,Easy,1
621,ADJ,Ecclesiastical,1
622,ADJ,Economic,24
623,ADJ,Ecumenical,2
624,ADJ,Editorial,1
625,ADJ,Educational,5
626,ADJ,Effective,1
627,ADJ,Egyptian,5
628,ADJ,Eighteenth,4
629,ADJ,Eighth,6
630,ADJ,Eighty-seventh,2
631,ADJ,Einsteinian,1
632,ADJ,Elaborate,1
633,ADJ,Elder,1
634,ADJ,Eldest,1
635,ADJ,Electoral,2
636,ADJ,Electric,8
637,ADJ,Electrical,7
638,ADJ,Electron-microscopical,1
639,ADJ,Electronic,3
640,ADJ,Electrostatic,1
641,ADJ,Elegant,1
642,ADJ,Elemental,1
643,ADJ,Elementary,3
644,ADJ,Elizabethan,7
645,ADJ,Emeritus,1
646,ADJ,Emotional,2
647,ADJ,English,109
648,ADJ,English-Dutch,1
649,ADJ,English-Scottish-French,1
650,ADJ,English-born,1
651,ADJ,English-dialogue,1
652,ADJ,English-speaking,2
653,ADJ,Englishy,1
654,ADJ,Enough,4
655,ADJ,Environmental,1
656,ADJ,Enzymatic,1
657,ADJ,Epidemiological,1
658,ADJ,Episcopal,6
659,ADJ,Equal,2
660,ADJ,Eternal,3
661,ADJ,Etruscan,1
662,ADJ,Eurasian,1
663,ADJ,European,59
664,ADJ,Europeanish,1
665,ADJ,Evangelical,1
666,ADJ,Evergreen,1
667,ADJ,Evil,2
668,ADJ,Excellent,1
669,ADJ,Exceptional,1
670,ADJ,Exclusive,1
671,ADJ,Executive,5
672,ADJ,Experimental,5
673,ADJ,Explicit,1
674,ADJ,Exploratory,1
675,ADJ,Export-Import,14
676,ADJ,Extensive,3
677,ADJ,External,5
678,ADJ,Extraordinary,1
679,ADJ,Extreme,2
680,ADJ,Facetious,1
681,ADJ,Facilitatory,1
682,ADJ,Faint,1
683,ADJ,Fair,7
684,ADJ,Fair-priced,1
685,ADJ,False,1
686,ADJ,Famed,1
687,ADJ,Fantastic,1
688,ADJ,Far,6
689,ADJ,Fascist,2
690,ADJ,Fat,2
691,ADJ,Faulknerian,1
692,ADJ,Faustian,1
693,ADJ,Fear-maddened,1
694,ADJ,Fearful,1
695,ADJ,Fearless,2
696,ADJ,Federal,134
697,ADJ,Female,2
698,ADJ,Few,18
699,ADJ,Fierce,1
700,ADJ,Fifteenth,2
701,ADJ,Fifth,15
702,ADJ,Fifty-fifth,2
703,ADJ,Fifty-ninth,1
704,ADJ,Filigreed,1
705,ADJ,Filipino,1
706,ADJ,Final,5
707,ADJ,Financial,5
708,ADJ,Fine,11
709,ADJ,Finnish,1
710,ADJ,Firm,1
711,ADJ,First,84
712,ADJ,Fiscal,4
713,ADJ,Fit,1
714,ADJ,Flat,1
715,ADJ,Flemish,5
716,ADJ,Flexural,1
717,ADJ,Florentine,3
718,ADJ,Foggy,2
719,ADJ,Follow-up,1
720,ADJ,Foreign,23
721,ADJ,Forensic,6
722,ADJ,Former,3
723,ADJ,Formosan,1
724,ADJ,Fortunate,1
725,ADJ,Forty-second,1
726,ADJ,Forty-third,1
727,ADJ,Fosterite,1
728,ADJ,Fourteenth,1
729,ADJ,Fourth,12
730,ADJ,Frail,1
731,ADJ,Franciscan,1
732,ADJ,Franco-German,1
733,ADJ,Free,16
734,ADJ,French,107
735,ADJ,French-Canadian,2
736,ADJ,French-born,1
737,ADJ,French-polished,1
738,ADJ,Fresh,6
739,ADJ,Freudian,3
740,ADJ,Front,1
741,ADJ,Full,5
742,ADJ,Fundamental,3
743,ADJ,Funny,2
744,ADJ,Furious,3
745,ADJ,Furiouser,1
746,ADJ,Further,9
747,ADJ,Future,8
748,ADJ,Fuzzy,1
749,ADJ,Gala,1
750,ADJ,Gallant,1
751,ADJ,Gaunt,1
752,ADJ,Gaussian,2
753,ADJ,Geatish,1
754,ADJ,Gen.,4
755,ADJ,General,84
756,ADJ,Gentile-Jewish,5
757,ADJ,Geodetic,1
758,ADJ,Geographic,2
759,ADJ,Geological,6
760,ADJ,Geometric,16
761,ADJ,Georgian,2
762,ADJ,German,51
763,ADJ,German-language,1
764,ADJ,Germanic,9
765,ADJ,Germano-Slavic,1
766,ADJ,Glad,2
767,ADJ,Gloomy,1
768,ADJ,Glorious,1
769,ADJ,God-curst,1
770,ADJ,God-forsaken,1
771,ADJ,God-given,3
772,ADJ,Goddamn,1
773,ADJ,Gold,3
774,ADJ,Golden,17
775,ADJ,Good,39
776,ADJ,Gorgeous,1
777,ADJ,Gothic,3
778,ADJ,Government-blessed,1
779,ADJ,Government-owned,1
780,ADJ,Graceful,1
781,ADJ,Gradual,1
782,ADJ,Graduate,1
783,ADJ,Gram-negative,1
784,ADJ,Grand,15
785,ADJ,Graphic,1
786,ADJ,Grassy,1
787,ADJ,Gray,9
788,ADJ,Gre't,1
789,ADJ,Greasy,2
790,ADJ,Great,57
791,ADJ,Greater,7
792,ADJ,Greatest,4
793,ADJ,Grecian,3
794,ADJ,Greek,46
795,ADJ,Greek-born,1
796,ADJ,Greek-speaking,1
797,ADJ,Green,11
798,ADJ,Gross,11
799,ADJ,Guatemalan,1
800,ADJ,Guttman-type,1
801,ADJ,Haitian,1
802,ADJ,Hamilton-oriented,1
803,ADJ,Hamiltonian,1
804,ADJ,Handmade,1
805,ADJ,Handsome,3
806,ADJ,Handsomest,1
807,ADJ,Hanoverian,7
808,ADJ,Happy,6
809,ADJ,Hard,1
810,ADJ,Hard-Hearted,1
811,ADJ,Hard-surface,1
812,ADJ,Harmful,1
813,ADJ,Hatless,1
814,ADJ,Hawaiian,6
815,ADJ,Healthier,1
816,ADJ,Heart-measuring,1
817,ADJ,Heavenly,3
818,ADJ,Heavy,3
819,ADJ,Heavy-coated,1
820,ADJ,Hebraic,1
821,ADJ,Hebrew,3
822,ADJ,Hegelian,3
823,ADJ,Hellenic,6
824,ADJ,Helpless,1
825,ADJ,Herculean,1
826,ADJ,Heretic,1
827,ADJ,Heroic,1
828,ADJ,Hessian,2
829,ADJ,Hideous,1
830,ADJ,High,35
831,ADJ,Higher,9
832,ADJ,Highest,1
833,ADJ,Historical,3
834,ADJ,Holy,31
835,ADJ,Home-keeping,1
836,ADJ,Home-made,1
837,ADJ,Homemade,2
838,ADJ,Homeric,15
839,ADJ,Homozygous,1
840,ADJ,Hon'ble,2
841,ADJ,Hon.,4
842,ADJ,Honest,2
843,ADJ,Honorable,3
844,ADJ,Hoped-for,1
845,ADJ,Hopkinsian,2
846,ADJ,Hostile,1
847,ADJ,Hot,12
848,ADJ,Huge,2
849,ADJ,Human,4
850,ADJ,Hungarian,5
851,ADJ,Hungarian-born,1
852,ADJ,Hunkerish,1
853,ADJ,Husky,1
854,ADJ,Hydraulic,1
855,ADJ,Hydro-Electric,1
856,ADJ,Hypothalamic,1
857,ADJ,Icelandic-speaking,1
858,ADJ,Ideal,2
859,ADJ,Idle,1
860,ADJ,Imaginary,1
861,ADJ,Immortal,1
862,ADJ,Imperial,7
863,ADJ,Impersonal,1
864,ADJ,Important,4
865,ADJ,Impossible,2
866,ADJ,Impressive,1
867,ADJ,Improper,1
868,ADJ,Incapable,1
869,ADJ,Incorrect,1
870,ADJ,Incumbent,2
871,ADJ,Indefinite,1
872,ADJ,Independent,4
873,ADJ,Indeterminate,1
874,ADJ,Indian,42
875,ADJ,Indigo,1
876,ADJ,Indirect,1
877,ADJ,Individual,6
878,ADJ,Indonesian,1
879,ADJ,Industrial,29
880,ADJ,Infamous,1
881,ADJ,Infectious,1
882,ADJ,Infinite,1
883,ADJ,Inflammatory,1
884,ADJ,Influential,1
885,ADJ,Initial,2
886,ADJ,Inland,1
887,ADJ,Inner,2
888,ADJ,Innumerable,1
889,ADJ,Inorganic,1
890,ADJ,Input/Output,4
891,ADJ,Instant,2
892,ADJ,Intangible,1
893,ADJ,Intelligent,1
894,ADJ,Intense,1
895,ADJ,Inter-American,5
896,ADJ,Inter-american,2
897,ADJ,Intercollegiate,1
898,ADJ,Interesting,1
899,ADJ,Interfaith,2
900,ADJ,Intergroup,1
901,ADJ,Interim,1
902,ADJ,Intermediate,2
903,ADJ,Internal,15
904,ADJ,International,38
905,ADJ,Interpersonal,1
906,ADJ,Interstate,9
907,ADJ,Invisible,1
908,ADJ,Ionic,4
909,ADJ,Irish,26
910,ADJ,Iron,2
911,ADJ,Ironic,1
912,ADJ,Islamic,3
913,ADJ,Israeli,4
914,ADJ,Istiqlal-sponsored,1
915,ADJ,Italian,43
916,ADJ,Italo-American,1
917,ADJ,Ithacan,1
918,ADJ,Jacksonian,2
919,ADJ,Jacobean,1
920,ADJ,Jacobite,1
921,ADJ,Jansenist,1
922,ADJ,Janus-faced,1
923,ADJ,Japanese,40
924,ADJ,Jeffersonian,1
925,ADJ,Jewish,74
926,ADJ,Jewish-Gentile,1
927,ADJ,Jiffy,1
928,ADJ,Joint,7
929,ADJ,Jolly,1
930,ADJ,Jovian,1
931,ADJ,Judeo-Christian,1
932,ADJ,Judicial,2
933,ADJ,Jungian,1
934,ADJ,Junior,38
935,ADJ,Just,1
936,ADJ,Jutish,1
937,ADJ,Juvenile,3
938,ADJ,Katangan,1
939,ADJ,Kind,2
940,ADJ,Know-Nothing,1
941,ADJ,Kohnstamm-negative,9
942,ADJ,Kohnstamm-positive,13
943,ADJ,Korean,11
944,ADJ,Land-based,1
945,ADJ,Laodicean,1
946,ADJ,Laotian,4
947,ADJ,Large,7
948,ADJ,Larger,1
949,ADJ,Lascivious,1
950,ADJ,Last,38
951,ADJ,Late,4
952,ADJ,Later,2
953,ADJ,Lateral,1
954,ADJ,Latest,1
955,ADJ,Latin,39
956,ADJ,Latter,2
957,ADJ,Laurentian,1
958,ADJ,Lawmaking,1
959,ADJ,Lay,2
960,ADJ,Lebanese,1
961,ADJ,Legal,1
962,ADJ,Legislative,1
963,ADJ,Less,6
964,ADJ,Li'l,1
965,ADJ,Liberal,4
966,ADJ,Light,3
967,ADJ,Lightweight,1
968,ADJ,Like,1
969,ADJ,Liliputian,1
970,ADJ,Lilliputian,1
971,ADJ,Linguistic,1
972,ADJ,Literal,1
973,ADJ,Literary,2
974,ADJ,Lithe,1
975,ADJ,Little,41
976,ADJ,Lobar,1
977,ADJ,Local,12
978,ADJ,Lockian,1
979,ADJ,London-based,1
980,ADJ,London-bred,1
981,ADJ,Long,25
982,ADJ,Long-lived,1
983,ADJ,Loud,1
984,ADJ,Lousie,1
985,ADJ,Lousy,1
986,ADJ,Lovely,1
987,ADJ,Low,4
988,ADJ,Low-flying,1
989,ADJ,Lower,4
990,ADJ,Loyal,1
991,ADJ,Lucky,1
